ClosestIndex	B_r
20675	-6.48731583205515
20698	1.90401523179815
29384	-4.78913503052945
29396	9.89628208654257
29407	4.86907498881881
29419	-1.02380865128819
29430	-0.655220936987575
29441	-6.88018454856355
29453	-12.716938754515
29544	-13.6694242284494
29556	-18.6235156194866
29624	-21.9838054752661
29636	-19.4475435776066
29647	-16.986311911211
29659	-12.1740628309176
29670	-3.8328908539373
29682	-9.19419760670579
29693	0.563929406323695
29705	-3.89593100005304
29716	2.82593283708667
29728	-18.8924814625572
29739	-18.6054982500363
29750	-19.4268963500708
29762	-11.130185146822
29773	4.96514811415908
29785	2.53968036000217
29796	5.97950977765206
29808	5.76638038021578
29819	4.93634878273501
29830	2.87173120953747
29842	4.1885280840016
29853	5.41391385883026
29865	6.77297906628998
29876	6.48302102943785
29888	3.5445567326004
29899	4.8280304907021
29911	8.6913594588902
29922	10.420893978991
29933	11.5723381073053
29945	9.17984935649905
29956	9.38446579640695
29968	2.3455181204936
29979	0.678608953842403
29991	2.68139512977346
30002	4.14549581340471
30014	1.91970289841755
30025	4.13852787684268
30037	-1.6513701404774
30048	0.807432456524951
30059	5.66446831885616
30071	4.75977317367766
30082	4.0535337487933
30094	5.50010586552385
30105	9.99640902031785
30117	8.30369581974406
30139	9.65685136899092
30151	6.44749733413307
30162	7.19127843082921
30174	7.49353612597354
30185	7.93183662098944
30197	5.75124728153159
30208	5.7977439908517
30220	6.43742365535884
30231	8.18187714272276
30242	2.89461328485672
30254	4.74130962887784
30265	2.68596437427103
30277	1.04442786350475
30288	2.78757557573982
30300	-0.628333122932391
30311	-0.290631788031903
30323	2.92461699810316
30334	2.00615798347346
30346	-0.11429745567587
30357	1.16592410592311
30368	0.565855537344679
30380	0.540352528047086
30391	-2.27261087472983
30403	0.648485295764408
30414	2.92371716106518
30426	1.74496491119272
30437	0.588441478908238
30448	1.77299257236739
30460	2.12313664907445
30471	2.26557570939394
30483	2.92488384780276
30494	3.08423184007001
30506	4.14375130097155
30517	3.03913163071112
30529	1.54683457625128
30540	1.77757355933337
30551	1.97047239761958
30563	1.70879480541211
30574	0.562268046631489
30586	0.635746420971452
30597	-3.0537252043879
30609	-1.40782478728124
30620	-1.1827252897715
30632	-1.47244321586958
30643	-1.12649657596863
30655	2.42661904246635
30666	-1.93635868783248
30677	2.98751286743419
30689	1.94401418308294
30700	-1.07395168995662
30712	-3.06791483902754
30723	-0.770510644666642
30735	-4.99500224374216
30746	-4.26877952220531
30757	-3.20194436045274
30769	-3.99050496372171
30780	-3.85856021273489
30792	0.195410722776176
30803	-1.59748040428553
30815	0.382576602753903
30826	-0.0924685612462751
30838	-1.52060359246151
30849	-4.30075455994006
30860	-1.21950924093993
30883	-0.00497679761417421
30895	-2.01435642337303
30906	-1.37582410461906
30918	-2.85904032431147
30929	-0.456451165981884
30941	-3.73772721358133
30952	-5.66175261115111
31021	-5.36809554302875
31032	-2.95734887368781
31044	2.19175185108088
31055	1.94311195517834
31066	0.0815287103435162
31078	-3.47692180174393
31089	-2.72392964904403
31101	-4.6841677896419
31112	-3.7699734048569
31124	-4.04178251299877
31135	-6.08693632461269
31147	-7.34509648051811
31158	-5.50397199095438
31169	-6.4143971323814
31181	-9.49037179167606
31192	-7.67004104997374
31204	-7.89834656959684
31845	-3.32259240492754
