LQP_Start_Index	LQP_End_Index	spike_Start_Index	spike_End_Index	TQP_Start_Index	TQP_End_Index	QualityFlag
17000	22814	34440	35996	51879	57693	3
20509	20543	20605	20733	20793	20858	2
23253	23268	23298	23313	23344	23359	1
25928	27174	29763	30310	30551	30872	2
27181	27272	27455	27545	27727	27819	1
29194	29257	29383	29457	29572	29635	2
30788	30871	31037	31119	31284	31366	2
31568	32058	32600	33294	37985	39867	1
31837	31840	31847	31850	31857	31861	1
31959	31974	32003	32017	32047	32061	1
34138	34154	34192	34274	34317	34337	2
38203	39257	41364	42417	44525	45578	1
45167	45273	45486	45593	45806	45912	3
47513	48435	50435	51199	53045	53968	2
56958	57634	58987	59399	61017	61694	4
57898	57978	58138	58218	58378	58457	1
66803	66821	66864	66876	66943	66957	2
67039	67086	67181	67229	67324	67371	1
67214	67595	67933	68567	69584	70348	2
71076	71266	71940	71955	72375	72529	2
72381	72559	73085	73316	74917	75199	2
77320	77514	77592	77815	77966	78100	2
77732	77862	78114	78253	78516	78646	2
78901	78903	78908	78912	78916	78918	2
79453	79470	79504	79521	79555	79572	1
