LQP_Start_Index	LQP_End_Index	spike_Start_Index	spike_End_Index	TQP_Start_Index	TQP_End_Index	QualityFlag
1652	1719	2055	2210	2288	2394	3
2291	2332	2401	2514	2602	2677	1
2661	2673	2726	2741	2773	2791	2
3196	3208	3257	3289	3340	3364	2
4623	4666	4730	4888	4903	4999	3
7701	7822	8142	8408	8594	8826	2
9662	10434	14291	15834	18921	20463	2
11412	11429	11499	11524	11556	11586	2
11563	11584	11633	11681	11711	11781	1
11997	12187	13134	13513	14271	14651	1
14065	14100	14185	14315	14357	14438	2
15842	15846	15854	15863	15871	15879	1
15901	15989	16260	16540	17320	17684	2
16860	16874	16947	16975	17034	17062	2
17055	17085	17139	17243	17308	17388	1
20207	20321	20899	21131	21593	21824	1
22704	22753	22934	23075	23414	23550	1
24998	25003	25031	25041	25064	25074	2
25429	25463	25524	25582	25613	25680	2
29796	29802	29817	29830	29841	29855	3
40223	40325	40832	41116	41707	41947	3
41625	41852	42752	43398	44774	45249	1
43670	43693	44005	44067	44145	44202	2
43671	43691	43899	43945	44146	44201	1
43673	43692	43720	43759	43853	43882	1
43675	43694	43772	43839	44129	44198	1
44203	44249	44360	44472	44574	44681	3
44703	44706	44718	44723	44733	44738	1
45044	45272	47051	47832	49008	49546	1
45396	45461	45649	45770	45814	45950	3
45842	45880	46001	46089	46152	46229	2
46125	46172	46492	46896	47483	47718	2
46315	46458	47173	47476	48031	48458	1
47624	47674	47962	48146	48692	48841	2
47625	47665	47757	47845	47879	47947	3
48138	48163	48411	48632	48680	48750	2
48714	48722	48758	48776	48794	48809	3
48805	48829	48877	48922	48931	48972	3
48929	48948	48976	49042	49053	49081	2
49378	49481	49994	50206	50609	50814	2
49508	49638	50309	50598	51068	51329	1
49711	49725	49887	49917	49931	49977	1
49716	49731	49786	49818	49931	49962	2
49798	50063	51388	51916	52978	53508	1
50635	50657	50764	50851	50977	51048	2
51066	51069	51077	51081	51089	51095	2
51173	51192	51347	51394	51507	51553	3
51692	52166	54531	55477	57369	58315	1
51965	51983	52076	52112	52289	52332	3
52116	52142	52180	52243	52300	52342	3
52262	52310	52386	52505	52696	52779	2
52502	52515	52544	52587	52610	52641	2
52777	52912	53100	53487	53956	54262	2
53581	53620	53836	53901	54045	54136	1
53586	53603	53680	53711	53773	53804	2
54341	54343	54353	54359	54366	54372	2
54449	54459	54531	54548	54580	54597	1
55557	55612	55864	56046	56100	56196	1
56161	56184	56277	56340	56435	56475	1
59772	59818	60402	60515	60778	60849	1
60135	60142	60193	60208	60264	60281	3
60210	60215	60223	60252	60264	60281	3
60264	60271	60287	60299	60319	60334	2
60555	60569	60654	60680	60796	60838	2
60846	60865	60966	61009	61108	61141	2
60873	60879	60891	60901	60909	60920	3
60914	60936	61047	61079	61123	61161	1
61278	61282	61299	61306	61321	61327	2
62338	62377	62465	62595	62625	62679	2
63145	63164	63208	63248	63331	63370	3
64267	64314	64620	64703	65587	65769	1
64425	64488	64709	64843	65201	65342	2
64499	64536	65086	65146	65600	65681	1
65868	65882	65990	66010	66041	66056	2
65915	65937	66211	66264	66370	66418	3
65926	65942	66159	66188	66366	66408	1
66533	66560	66691	66747	66898	66977	2
68303	68332	68549	68620	68829	68902	2
68860	69023	69833	70157	70804	71128	2
68912	68939	69135	69190	69229	69274	1
68918	68939	69028	69095	69223	69271	1
70277	70375	71069	71314	71648	71887	2
70416	70436	70491	70527	70577	70616	3
71294	71426	72080	72342	72867	73129	1
71425	71427	71442	71449	71460	71466	2
71527	71703	71948	72651	73077	73378	2
72681	72949	74289	74826	75897	76434	1
72824	72932	73466	73680	74108	74322	1
73250	73304	73439	73566	73722	73825	2
73752	73784	73893	73984	74034	74103	2
75458	75464	75502	75517	75547	75563	3
76277	76457	77354	77713	78147	78407	3
76615	76651	76769	76862	76942	77013	3
77082	77088	77124	77138	77165	77180	2
77835	77870	78001	78122	78251	78323	3
78519	78885	79534	80466	80951	81405	1
78663	78743	78957	79209	79307	79515	1
80701	80846	81044	81496	81608	81886	2
80760	81324	84144	85271	86286	87058	1
81830	81980	82729	83029	83630	83930	2
83045	83073	83208	83261	83369	83424	2
85398	85413	85440	85470	85498	85523	2
85793	85806	85833	85879	85889	85911	3
85888	85923	85979	86074	86144	86210	1
86353	86456	87165	87361	88080	88311	2
86434	86613	87621	87931	88326	88622	1
86882	86887	86902	86910	86918	86925	2
88273	88387	88930	89431	89499	89721	2
88332	88397	88641	88783	89417	89583	1
88651	88741	89191	89370	89731	89911	1
88776	88893	89714	90198	90941	91300	1
90208	90272	90662	90862	90986	91227	2
90373	90388	90466	90497	90558	90589	2
90525	90771	92007	92500	93489	93982	1
90969	91061	91521	91705	92246	92486	2
92602	92605	92611	92615	92621	92624	1
92649	92661	92684	92705	92727	92751	3
92726	92741	92767	92806	92833	92880	2
92853	92909	93011	93157	93479	93631	2
93299	93302	93308	93312	93318	93321	1
93498	93608	93916	94051	94122	94298	1
94118	94184	94318	94512	94970	95115	1
94571	94594	94742	94781	94983	95027	2
95065	95181	95372	95610	95727	95934	2
95619	95627	95644	95665	95676	95692	2
96014	96040	96125	96199	96266	96315	2
