LQP_Start_Index	LQP_End_Index	spike_Start_Index	spike_End_Index	TQP_Start_Index	TQP_End_Index	QualityFlag
4968	7527	12643	15202	20319	22878	1
5411	5476	5609	5674	5807	5872	2
7210	9994	15563	18347	23916	26702	2
10515	10550	10622	10659	10731	10767	1
12107	12148	12229	12270	12353	12393	1
17209	17700	18681	19174	20155	20646	2
21399	21504	21774	21819	22029	22134	2
22853	22861	22876	22883	22898	22906	2
24742	24770	24824	24851	24905	24931	2
36749	36777	36808	36853	36877	36916	2
37156	37664	37935	38537	38755	39390	2
38566	39057	40036	40526	41506	41997	1
39123	39310	39683	39869	40242	40429	1
42511	43732	46174	47394	49836	51057	2
43196	43429	43892	44124	44589	44820	1
43839	44091	44596	44848	45351	45603	1
47504	47560	47672	47728	47840	47896	2
47520	47528	47544	47552	47568	47576	1
49697	52853	59164	62321	68633	71789	2
52473	52492	52531	52551	52590	52609	2
54270	54281	54302	54312	54333	54344	1
54826	54832	54842	54848	54859	54864	1
55939	55946	55960	55967	55981	55989	2
55954	55981	56032	56058	56111	56136	1
56208	56438	56817	57125	57219	57480	2
57434	57486	57590	57641	57745	57798	2
58707	58709	58715	58718	58724	58727	2
58727	58730	58735	58738	58742	58744	2
62528	63036	63226	63345	63998	64489	2
63074	63082	63099	63108	63125	63133	1
67419	67428	67448	67457	67476	67486	1
68352	68423	68566	68638	68781	68852	1
69681	69766	69940	70026	70199	70286	1
70107	73062	78972	81504	87837	90792	2
71896	71918	71960	71982	72025	72046	2
72110	72246	72386	72651	73265	73524	2
72273	73703	76706	77903	80856	82286	2
72865	73295	73663	75915	76353	76628	2
78050	78062	78089	78101	78128	78140	2
78181	78371	78751	78941	79321	79511	1
78628	78647	78686	78707	78746	78765	2
81373	81619	82114	82361	82855	83101	1
82878	82895	82901	82917	82934	82955	2
83145	83156	83178	83189	83211	83223	2
83356	83385	83441	83470	83527	83556	1
84067	84105	84123	84152	84198	84233	2
84717	84738	84781	84803	84845	84867	2
85090	85093	85097	85101	85105	85107	1
85854	85863	85882	85891	85910	85920	2
86230	86296	86430	86498	86632	86698	2
87207	87218	87241	87251	87273	87284	2
87434	87512	87616	87671	87769	87838	2
