LQP_Start_Index	LQP_End_Index	spike_Start_Index	spike_End_Index	TQP_Start_Index	TQP_End_Index	QualityFlag
19	24	33	41	62	69	2
672	673	680	682	688	690	1
681	705	744	786	851	887	2
687	682	975	1092	1133	1168	2
1099	1126	1196	1253	1401	1454	3
1133	1168	1198	1546	1683	1751	2
3343	3597	4186	5082	5273	5800	5
5656	5708	5887	5991	6016	6105	4
6523	6866	8619	10618	10986	12990	5
7412	7423	7476	7503	7535	7555	2
7876	7886	7939	7959	8001	8021	1
10854	10872	10930	10962	11004	11039	4
23868	23885	23952	23989	24034	24071	3
32151	32178	32363	32417	32434	32484	3
32404	32435	32483	32545	32585	32646	3
32878	33062	33982	34350	35086	35454	1
34592	34774	35645	36054	36159	36219	5
35034	35059	35128	35173	35288	35333	1
36159	36219	36337	36461	36716	36842	3
36214	36262	36553	36643	36720	36810	1
37450	37456	37471	37479	37487	37496	3
40500	40529	40673	40863	40893	40996	4
40537	40604	40731	40863	40893	40996	1
42459	42481	42561	42606	42662	42709	3
43224	43247	43297	43342	43368	43411	2
43352	43398	43427	43629	43649	43672	5
43649	43672	43734	43882	43900	43946	4
43900	43946	44036	45019	45841	47027	5
47831	47879	48062	48148	48205	48305	4
49116	49480	50753	51474	52053	52721	5
52901	52950	53092	53195	53350	53447	4
53931	54008	54237	54415	54654	54813	4
58160	58210	58462	58564	58765	58866	3
59507	59511	59551	59560	59579	59588	4
59518	59650	60302	60563	61085	61346	1
59683	59698	59748	59777	59814	59843	3
60049	60056	60073	60086	60109	60122	2
60267	60325	60627	60768	61026	61158	2
60993	61086	61549	61734	62104	62290	1
61256	61283	61698	61752	61913	61969	1
61298	61322	61456	61505	61591	61647	1
61568	61607	61837	61902	62050	62114	1
62027	62056	62124	62180	62246	62301	4
62815	62832	62919	62952	63009	63042	4
62852	62856	62880	62890	62901	62910	3
62974	63031	63148	63269	63440	63535	3
63440	63535	63723	64076	64745	65117	5
64416	64421	64426	64436	64440	64448	4
74873	74895	75032	75075	75137	75177	3
74980	74982	74988	74991	74995	74998	2
75011	75022	75114	75137	75168	75193	4
75184	75189	75199	75207	75212	75221	3
75994	76052	76334	76448	76674	76787	1
76064	76100	76155	76230	76244	76275	2
76316	78142	78525	79408	81175	82059	5
76885	76904	76971	77008	77029	77064	3
77031	77042	77066	77086	77109	77133	2
77709	77713	77733	77740	77756	77764	2
81292	81317	81385	81434	81458	81507	4
81450	81532	81839	82013	82249	82404	3
85545	85549	85570	85580	85594	85604	2
85850	85854	85863	85870	85875	85881	3
91020	91252	92410	92874	93800	94264	1
