LQP_Start_Index	LQP_End_Index	spike_Start_Index	spike_End_Index	TQP_Start_Index	TQP_End_Index	QualityFlag
13369	13443	13594	13669	13819	13894	1
16903	16906	16912	16916	16921	16924	1
21351	21715	22443	22807	23535	23899	1
21395	21398	21404	21408	21413	21417	1
27392	31116	34961	38445	41125	44152	2
34203	41246	55333	62376	76462	83505	1
41307	45376	49068	52432	63027	64959	3
83172	83194	83239	83260	83304	83327	1
84335	84694	84826	85145	85468	85848	2
87195	87209	87293	87305	87339	87352	2
87400	87608	87718	88153	88535	89080	2
87566	87569	87577	87582	87590	87593	1
88331	89272	89531	90965	91101	91246	2
91073	91299	91401	92779	92871	93178	2
93367	93371	93382	93386	93397	93401	1
93439	93469	93486	93517	93556	93590	2
93853	94552	94714	95355	95943	96396	2
94975	94984	95023	95026	95075	95081	2
95732	96113	96380	97499	97848	98039	2
